,Monthly_Sum,Monthly_Average
YEAR,229203.0,1959.0
JAN,131.10000000000002,1.1205128205128208
FEB,185.79999999999998,1.588034188034188
MAR,149.4,1.276923076923077
APR,136.1,1.1632478632478631
MAY,537.4000000000001,4.593162393162394
JUN,8665.8,74.06666666666666
JUL,22900.2,195.72820512820513
AUG,14028.1,119.8982905982906
SEP,8774.5,74.9957264957265
OCT,1738.1999999999998,14.856410256410255
NOV,701.0999999999999,5.9923076923076914
DEC,128.8,1.100854700854701
ANNUAL,58078.6,496.3982905982906
JF,316.59999999999997,2.7059829059829057
MAM,822.6000000000001,7.0307692307692315
JJAS,54369.4,464.6957264957265
OND,2568.4,21.952136752136752
